;_id;breakdown;catégorie;fréquence;part;clients;pays;domain
19;6149add3ac0103e25e9c00cc;By territory;Agglo 2;1 time/year;32;131;France;stackedbarchart-base-data
20;6149add3ac0103e25e9c00cd;By territory;Agglo 3;1 time/year;28;110;France;stackedbarchart-base-data
21;6149add3ac0103e25e9c00ce;By territory;Medium City 2;1 time/year;35;160;France;stackedbarchart-base-data
22;6149add3ac0103e25e9c00cf;By territory;Medium City 3;1 time/year;45;103;France;stackedbarchart-base-data
23;6149add3ac0103e25e9c00d0;By territory;Big City 1;1 time/year;35;181;France;stackedbarchart-base-data
24;6149add3ac0103e25e9c00d1;By territory;Medium City 4;1 time/year;33;153;France;stackedbarchart-base-data
25;6149add3ac0103e25e9c00d2;By territory;Big City 2;1 time/year;37;47;France;stackedbarchart-base-data
26;6149add3ac0103e25e9c00d3;By age;18-24 years 2014;1 time/year;35;896;France;stackedbarchart-base-data
27;6149add3ac0103e25e9c00d4;By age;18-24 years 2011;1 time/year;28;1242;France;stackedbarchart-base-data
28;6149add3ac0103e25e9c00d5;By age;25-35 years;1 time/year;41;37;France;stackedbarchart-base-data
29;6149add3ac0103e25e9c00d6;By age;36-45 years;1 time/year;39;239;France;stackedbarchart-base-data
30;6149add3ac0103e25e9c00d7;By age;46-55 years;1 time/year;33;44;France;stackedbarchart-base-data
31;6149add3ac0103e25e9c00d8;By age;56-65 years;1 time/year;32;232;France;stackedbarchart-base-data
32;6149add3ac0103e25e9c00d9;By age;66 + years;1 time/year;32;241;France;stackedbarchart-base-data
33;6149add3ac0103e25e9c00da;By age;< 18 years;1 time/year;26;103;France;stackedbarchart-base-data
34;6149add3ac0103e25e9c00db;By territory;Agglo 1 2014;Less often;10;896;France;stackedbarchart-base-data
35;6149add3ac0103e25e9c00dc;By territory;Agglo 1 2011;Less often;10;1242;France;stackedbarchart-base-data
36;6149add3ac0103e25e9c00dd;By territory;Agglo 2;Less often;12;131;France;stackedbarchart-base-data
37;6149add3ac0103e25e9c00de;By territory;Agglo 3;Less often;11;110;France;stackedbarchart-base-data
38;6149add3ac0103e25e9c00df;By territory;Medium City 2;Less often;9;160;France;stackedbarchart-base-data
39;6149add3ac0103e25e9c00e0;By territory;Medium City 3;Less often;12;103;France;stackedbarchart-base-data
40;6149add3ac0103e25e9c00e1;By territory;Big City 1;Less often;9;181;France;stackedbarchart-base-data
41;6149add3ac0103e25e9c00e2;By territory;Medium City 4;Less often;11;153;France;stackedbarchart-base-data
42;6149add3ac0103e25e9c00e3;By territory;Big City 2;Less often;3;47;France;stackedbarchart-base-data
43;6149add3ac0103e25e9c00e4;By age;18-24 years 2014;Less often;10;896;France;stackedbarchart-base-data
44;6149add3ac0103e25e9c00e5;By age;18-24 years 2011;Less often;10;1242;France;stackedbarchart-base-data
45;6149add3ac0103e25e9c00e6;By age;25-35 years;Less often;23;37;France;stackedbarchart-base-data
46;6149add3ac0103e25e9c00e7;By age;36-45 years;Less often;9;239;France;stackedbarchart-base-data
47;6149add3ac0103e25e9c00e8;By age;46-55 years;Less often;20;44;France;stackedbarchart-base-data
48;6149add3ac0103e25e9c00e9;By age;56-65 years;Less often;8;232;France;stackedbarchart-base-data
49;6149add3ac0103e25e9c00ea;By age;66 + years;Less often;8;241;France;stackedbarchart-base-data
50;6149add3ac0103e25e9c00eb;By age;< 18 years;Less often;5;103;France;stackedbarchart-base-data
51;6149add3ac0103e25e9c00ec;By territory;Agglo 1 2014;Never;1;896;France;stackedbarchart-base-data
52;6149add3ac0103e25e9c00ed;By territory;Agglo 1 2011;Never;1;1242;France;stackedbarchart-base-data
53;6149add3ac0103e25e9c00ee;By territory;Agglo 2;Never;1;131;France;stackedbarchart-base-data
54;6149add3ac0103e25e9c00ef;By territory;Agglo 3;Never;2;110;France;stackedbarchart-base-data
55;6149add3ac0103e25e9c00f0;By territory;Medium City 2;Never;1;160;France;stackedbarchart-base-data
56;6149add3ac0103e25e9c00f1;By territory;Medium City 3;Never;0;103;France;stackedbarchart-base-data
57;6149add3ac0103e25e9c00f2;By territory;Big City 1;Never;2;181;France;stackedbarchart-base-data
58;6149add3ac0103e25e9c00f3;By territory;Medium City 4;Never;0;153;France;stackedbarchart-base-data
59;6149add3ac0103e25e9c00f4;By territory;Big City 2;Never;2;47;France;stackedbarchart-base-data
60;6149add3ac0103e25e9c00f5;By age;18-24 years 2014;Never;1;896;France;stackedbarchart-base-data
61;6149add3ac0103e25e9c00f6;By age;18-24 years 2011;Never;1;1242;France;stackedbarchart-base-data
62;6149add3ac0103e25e9c00f7;By age;25-35 years;Never;0;37;France;stackedbarchart-base-data
63;6149add3ac0103e25e9c00f8;By age;36-45 years;Never;0;239;France;stackedbarchart-base-data
64;6149add3ac0103e25e9c00f9;By age;46-55 years;Never;4;44;France;stackedbarchart-base-data
65;6149add3ac0103e25e9c00fa;By age;56-65 years;Never;2;232;France;stackedbarchart-base-data
66;6149add3ac0103e25e9c00fb;By age;66 + years;Never;0;241;France;stackedbarchart-base-data
67;6149add3ac0103e25e9c00fc;By age;< 18 years;Never;0;103;France;stackedbarchart-base-data
68;6149add3ac0103e25e9c00fd;By territory;Agglo 1 2014;Less than 1 time/month;9;896;France;stackedbarchart-base-data
69;6149add3ac0103e25e9c00fe;By territory;Agglo 1 2011;Less than 1 time/month;11;1242;France;stackedbarchart-base-data
70;6149add3ac0103e25e9c00ff;By territory;Agglo 2;Less than 1 time/month;6;131;France;stackedbarchart-base-data
71;6149add3ac0103e25e9c0100;By territory;Agglo 3;Less than 1 time/month;8;110;France;stackedbarchart-base-data
72;6149add3ac0103e25e9c0101;By territory;Medium City 2;Less than 1 time/month;12;160;France;stackedbarchart-base-data
73;6149add3ac0103e25e9c0102;By territory;Medium City 3;Less than 1 time/month;6;103;France;stackedbarchart-base-data
74;6149add3ac0103e25e9c0103;By territory;Big City 1;Less than 1 time/month;7;181;France;stackedbarchart-base-data
75;6149add3ac0103e25e9c0104;By territory;Medium City 4;Less than 1 time/month;12;153;France;stackedbarchart-base-data
76;6149add3ac0103e25e9c0105;By territory;Big City 2;Less than 1 time/month;19;47;France;stackedbarchart-base-data
77;6149add3ac0103e25e9c0106;By age;18-24 years 2014;Less than 1 time/month;9;896;France;stackedbarchart-base-data
78;6149add3ac0103e25e9c0107;By age;18-24 years 2011;Less than 1 time/month;11;1242;France;stackedbarchart-base-data
79;6149add3ac0103e25e9c0108;By age;25-35 years;Less than 1 time/month;8;37;France;stackedbarchart-base-data
80;6149add3ac0103e25e9c0109;By age;36-45 years;Less than 1 time/month;11;239;France;stackedbarchart-base-data
81;6149add3ac0103e25e9c010a;By age;46-55 years;Less than 1 time/month;4;44;France;stackedbarchart-base-data
82;6149add3ac0103e25e9c010b;By age;56-65 years;Less than 1 time/month;12;232;France;stackedbarchart-base-data
83;6149add3ac0103e25e9c010c;By age;66 + years;Less than 1 time/month;6;241;France;stackedbarchart-base-data
84;6149add3ac0103e25e9c010d;By age;< 18 years;Less than 1 time/month;8;103;France;stackedbarchart-base-data
